번호,k-아파트코드,k-아파트명,"k-단지분류(아파트,주상복합등등)",kapt도로명주소,주소(시도)k-apt주소split,주소(시군구),주소(읍면동),나머지주소,주소(도로명),주소(도로상세주소),k-전화번호,k-팩스번호,단지소개기존clob,단지첨부파일,k-세대타입(분양형태),k-관리방식,k-복도유형,k-난방방식,k-전체동수,k-전체세대수,k-건설사(시공사),k-시행사,k-사용검사일-사용승인일,k-연면적,k-주거전용면적,k-관리비부과면적,k-전용면적별세대현황(60㎡이하),k-전용면적별세대현황(60㎡~85㎡이하),k-85㎡~135㎡이하,k-135㎡초과,k-홈페이지,k-등록일자,k-수정일자,고용보험관리번호,경비비관리형태,세대전기계약방법,청소비관리형태,건축면적,주차대수,기타/의무/임대/임의=1/2/3/4,단지승인일,사용허가여부,관리비 업로드,좌표X,좌표Y,단지신청일,LNNO_ADRES,SCHUL_ADRES,TOTL_NWSTD_CNT,SCHUL_DIST,SCHUL_CROSS,초품아
12,A13820001,문정3차푸르지오,아파트,서울특별시 송파구 송이로 257,서울,송파구,문정동,문정3차대우아파트,송이로,257,024044117,024043379,,,분양,위탁관리,계단식,개별난방,2.0,150,(주)대우건설,(주)대우,2002-08-13 00:00:00.0,16059.0,12744.0,15952.0,0.0,150.0,0.0,,없음,,2026-02-09 06:26:34.0,90700240051,위탁,단일계약,위탁,0.0,193.0,의무,2018-07-05 10:55:13.0,Y,N,127.1332779,37.4871243,2013-03-07 09:47:01.0,서울특별시 송파구 문정동 117,서울특별시 송파구 문정동 12,137.0,,,N
13,A13790701,잠원한신그린,아파트,서울특별시 서초구 신반포로33길 71,서울,서초구,잠원동,잠원한신그린아파트,신반포로33길,71,025374739,025911575,,,분양,위탁관리,계단식,지역난방,1.0,150,한신공영(주),한신공영(주),1993-01-21 00:00:00.0,17968.0,12734.0,16860.0,0.0,150.0,0.0,,없음,,2026-02-09 06:06:46.0,11480015230,위탁,단일계약,직영,1115.61,136.0,의무,2016-04-25 16:20:42.0,Y,N,127.0078749,37.5133709,2013-03-07 09:47:01.0,서울특별시 서초구 잠원동 65-8,서울특별시 서초구 잠원동 72,170.0,,,N
14,A13402202,천호e-편한세상,아파트,서울특별시 강동구 올림픽로81길 15,서울,강동구,천호동,관리사무소,올림픽로81길,15,024706787,024846788,,,분양,위탁관리,계단식,개별난방,2.0,150,대림산업,"한미,세경연립사업조합.(주)삼호",2005-10-28 00:00:00.0,23895.0,13829.0,17087.0,0.0,98.0,52.0,,,,2026-02-09 06:36:22.0,90700029131,위탁,단일계약,위탁,1743.47,198.0,의무,2018-01-24 18:20:19.0,Y,N,127.1243522,37.5443727,2013-03-07 09:47:01.0,서울특별시 강동구 천호동 333-55 천호,,,,,N
15,A11007001,경희궁의아침3단지,주상복합,서울특별시 종로구 사직로8길 34,서울,종로구,내수동,72번지,사직로8길,34,027224433,027340253,,,분양,위탁관리,계단식,개별난방,1.0,150,쌍용건설,군인공제조합,2004-05-17 00:00:00.0,38392.0,22445.0,38392.0,0.0,0.0,30.0,,,,2026-02-09 04:00:41.0,101-80-05542-0,위탁,단일계약,위탁,0.0,315.0,의무,2013-06-24 11:36:59.0,Y,N,126.9720155,37.5736451,2013-03-07 09:47:01.0,서울특별시 종로구 내수동 72 경희궁의아침,,,,,N
16,A13403001,성내2차e-편한세상,아파트,서울특별시 강동구 풍성로37길 55,서울,강동구,성내동,137,풍성로37길,55,024866688,024866644,,,분양,위탁관리,계단식,개별난방,2.0,151,(주)삼호,대농연립재건축조합,2004-11-24 00:00:00.0,22219.0,13446.0,22218.0,0.0,126.0,25.0,,,,2026-02-09 06:35:12.0,21282630740,위탁,종합계약,위탁,1863.0,184.0,의무,2016-10-27 15:45:08.0,Y,N,127.1264298,37.53436,2013-03-07 09:47:02.0,서울특별시 강동구 성내동 137 성내2차,,,,,N
17,A15609001,사당유니드,아파트,서울특별시 동작구 동작대로29길 195,서울,동작구,사당동,1155번지,동작대로29길,195,025330511,025330588,,,분양,위탁관리,계단식,개별난방,5.0,151,대성산업(주),사당제7주택 재개발조합,2009-02-03 00:00:00.0,23348.0,11569.0,15207.0,27.0,124.0,0.0,,cafe.daum.net/sd-uneed,,2026-02-09 05:55:20.0,90900160751,위탁,종합계약,위탁,0.0,0.0,의무,2013-06-23 11:08:20.0,Y,N,126.9752458,37.493362,2013-03-07 09:47:02.0,서울특별시 동작구 사당동 1155,서울특별시 동작구 사당동 산9-1,85.0,,,N
18,A13186801,신내다우훼밀리,아파트,서울특별시 중랑구 송림길 16,서울,중랑구,신내동,796번지,송림길,16,024948697,024958697,,,분양,위탁관리,혼합식,개별난방,1.0,152,다우종합건설,다우훼밀리아파트,1999-01-29 00:00:00.0,15008.0,11642.0,11642.0,66.0,73.0,13.0,,,,2026-02-09 04:31:34.0,907-00-28587-1,위탁,단일계약,위탁,0.0,161.0,의무,2013-06-23 00:00:00.0,Y,N,127.0971514,37.6060585,2013-03-07 09:47:02.0,서울특별시 중랑구 신내동 796,서울특별시 중랑구 신내동 531,143.0,488.0,2.0,N
19,A13407201,명일삼익그린11차,아파트,서울특별시 강동구 명일로 376,서울,강동구,명일동,38번지,명일로,376,024287062,0264261451,,,분양,위탁관리,혼합식,개별난방,1.0,152,삼익주택,삼익주택,1986-06-30 00:00:00.0,18346.0,14834.0,18346.0,0.0,92.0,60.0,,,,2026-02-09 06:31:26.0,212-80-00755-0,직영,종합계약,위탁,0.0,180.0,의무,2013-05-07 18:52:16.0,Y,N,127.1504982,37.5518066,2013-03-07 09:47:02.0,서울특별시 강동구 명일동 38,서울특별시 강동구 명일동 39,99.0,,,N
20,A13980801,공릉대동1차,아파트,서울특별시 노원구 동일로175길 38,서울,노원구,공릉동,604-11,동일로175길,38,029794220,029794221,,,분양,위탁관리,혼합식,개별난방,1.0,152,(주)대동,(주)대동,1999-04-30 00:00:00.0,19659.0,10853.0,14198.0,73.0,79.0,0.0,,,,2026-02-09 04:49:09.0,90800504051,직영,종합계약,직영,0.0,156.0,의무,2013-05-30 17:08:27.0,Y,N,127.072532,37.6198604,2013-03-07 09:47:02.0,서울특별시 노원구 공릉동 604-11,서울특별시 노원구 공릉동 610-1,30.0,100.0,1.0,N
21,A15210101,오류동선,아파트,서울특별시 구로구 경인로 158,서울,구로구,오류동,345,경인로,158,0226133606,0226133607,,,분양,위탁관리,계단식,개별난방,1.0,152,동선건설,동선건설,2004-04-21 00:00:00.0,16366.0,8849.0,12562.0,152.0,0.0,0.0,,,,2026-02-09 05:38:01.0,11382701090,위탁,단일계약,위탁,0.0,122.0,의무,2004-04-21 00:00:00.0,Y,N,126.8394712,37.4936836,2013-03-07 09:47:02.0,서울특별시 구로구 오류동 345,서울특별시 구로구 오류동 20-1,101.0,556.0,2.0,N
22,A15001001,여의도초원,아파트,서울특별시 영등포구 국회대로76가길 11,서울,영등포구,여의도동,서울시 영등포구 여의도동11-1,국회대로76가길,11,027805768,027619653,4.0,,분양,자치관리,복도식,지역난방,1.0,153,순복음,순복음,1971-08-27 00:00:00.0,13657.0,10242.0,13657.0,0.0,153.0,0.0,,,,2026-02-09 05:43:40.0,1998-062972-560-1204,위탁,,위탁,833.0,92.0,의무,2013-05-07 18:52:10.0,Y,Y,126.9231927,37.5309637,2013-03-07 09:47:02.0,서울특별시 영등포구 여의도동,,,,,N
23,A15881701,목동금강에스쁘아,아파트,서울특별시 양천구 목동중앙본로 15,서울,양천구,목동,목동금강에스쁘아아파트,목동중앙본로,15,0226443194,0226443194,,,분양,위탁관리,계단식,지역난방,1.0,153,(주)금강종합건설,신목연합재건축주택조합,2002-08-13 00:00:00.0,19081.0,11861.0,16137.0,34.0,119.0,0.0,,,,2026-02-09 05:18:47.0,90700237321,위탁,종합계약,위탁,1197.38,159.0,의무,2015-10-05 12:01:31.0,Y,N,126.8714021,37.5380526,2013-03-07 09:47:02.0,서울특별시 양천구 목동 753-1 목동,,,,,N
24,A13285601,방학신동아5단지,아파트,서울특별시 도봉구 시루봉로 148,서울,도봉구,방학동,신동아아파트,시루봉로,148,0234938819,0262238819,238.0,,분양,위탁관리,혼합식,개별난방,1.0,153,신동아건설(주),신동아건설(주),1998-10-02 00:00:00.0,22480.0,11929.0,15762.0,84.0,33.0,36.0,,cafe.daum.net/sdaapt5,,2026-02-09 04:43:53.0,90700326431,위탁,종합계약,직영,0.0,196.0,의무,2018-02-13 11:14:23.0,Y,N,127.0285219,37.6636195,2013-03-07 09:47:02.0,서울특별시 도봉구 방학동 738,서울특별시 도봉구 방학동 310,35.0,316.0,1.0,N
25,A13980102,공릉신원,아파트,서울특별시 노원구 동일로192나길 26,서울,노원구,공릉동,370-4,동일로192나길,26,029716118,029716102,,,분양,위탁관리,복도식,개별난방,1.0,153,신원종합개발,신원종합개발,2000-02-14 00:00:00.0,18796.0,10946.0,14765.0,81.0,72.0,0.0,,,,2026-02-09 04:48:33.0,2000-0001855,위탁,종합계약,직영,0.0,154.0,의무,2015-10-16 16:44:11.0,Y,N,127.0751067,37.6277644,2013-03-07 09:47:02.0,서울특별시 노원구 공릉동 370-4,서울특별시 노원구 공릉동 371-10,61.0,,,N
26,A15886501,신정학마을3단지,아파트,서울특별시 양천구 신정로 225-12,서울,양천구,신정동,1291번지 관리사무소,신정로,225-12,0226041480,0226041482,,,분양,위탁관리,계단식,지역난방,3.0,153,태영건설,도시개발공사,2002-08-23 00:00:00.0,24603.0,12978.0,16691.0,0.0,153.0,0.0,,,,2026-02-09 05:16:20.0,11780050380,위탁,단일계약,위탁,1555.0,211.0,의무,2002-08-23 00:00:00.0,Y,N,126.8472095,37.5115753,2013-03-07 09:47:02.0,서울특별시 양천구 신정동 1291,서울특별시 양천구 신정동 1288-2,28.0,,,N
27,A13186502,신내우남푸르미아,아파트,서울특별시 중랑구 봉화산로56길 51,서울,중랑구,신내동,,봉화산로56길,51,0234233200,0234233201,,,분양,위탁관리,계단식,개별난방,3.0,153,(주)우남건설,(주)우남건설,2005-04-04 00:00:00.0,22916.0,13481.0,16456.0,0.0,134.0,19.0,,,,2026-02-09 04:31:25.0,90700274071,위탁,종합계약,위탁,1401.42,186.0,의무,2013-06-23 14:54:55.0,Y,N,127.0987566,37.6061739,2013-03-07 09:47:03.0,서울특별시 중랑구 신내동 802,서울특별시 중랑구 신내동 444,65.0,244.0,0.0,Y
28,A13780201,엠브이아파트,아파트,서울특별시 서초구 고무래로10길 39,서울,서초구,반포동,서초구 반포4동 46번지,고무래로10길,39,025911655,025911645,,,분양,자치관리,복도식,개별난방,1.0,154,한보철강,해주정씨종친회,1994-07-28 00:00:00.0,21910.0,13431.0,17664.0,54.0,60.0,40.0,,,,2026-02-09 06:08:23.0,11480017130,직영,단일계약,직영,1094.86,146.0,의무,2017-04-24 13:22:55.0,Y,N,127.0102751,37.4992014,2013-03-07 09:47:03.0,서울특별시 서초구 반포동 46,서울특별시 서초구 반포동 30-8,248.0,957.0,2.0,N
29,A13203001,쌍문동북한산월드메르디앙,아파트,서울특별시 도봉구 삼양로 566,서울,도봉구,쌍문동,728번지,삼양로,566,029005707,029005708,,,분양,위탁관리,계단식,개별난방,4.0,154,월드건설,월드건설,2005-06-02 00:00:00.0,19477.0,12814.0,16560.0,0.0,138.0,16.0,,,,2026-02-09 04:41:41.0,90700278841,위탁,종합계약,위탁,0.0,177.0,의무,2013-06-17 13:35:06.0,Y,N,127.0139503,37.653846,2013-03-07 09:47:03.0,서울특별시 도봉구 쌍문동 728,서울특별시 도봉구 쌍문동 422-2,66.0,,,N
30,A15383601,독산진도2차,아파트,서울특별시 금천구 두산로 36,서울,금천구,독산동,1133번지,두산로,36,028913790,028913791,,,분양,위탁관리,혼합식,개별난방,1.0,154,진도건설,진도,1997-10-17 00:00:00.0,17642.0,11178.0,15399.0,75.0,79.0,0.0,,,,2026-02-09 05:41:13.0,91611398771,위탁,단일계약,위탁,0.0,139.0,의무,2016-12-21 10:42:47.0,Y,N,126.8922168,37.4700234,2013-03-07 09:47:03.0,서울특별시 금천구 독산동 1133,서울특별시 금천구 독산동 1002-5,87.0,,,N
31,A15381402,독산계룡,아파트,서울특별시 금천구 범안로15길 7,서울,금천구,독산동,,범안로15길,7,028084694,028084693,,,분양,위탁관리,혼합식,개별난방,2.0,154,계룡건설,계룡건설,1998-09-24 00:00:00.0,19933.0,11034.0,15415.0,80.0,74.0,0.0,,,,2026-02-09 05:40:56.0,1998-4420680,직영,단일계약,직영,973.34,160.0,의무,2018-06-04 13:29:20.0,Y,N,126.8927936,37.4671531,2013-03-07 09:47:03.0,서울특별시 금천구 독산동 332-14,서울특별시 금천구 독산동 1002-5,87.0,,,N
32,A15805101,목동대원칸타빌,아파트,서울특별시 양천구 목동로 224,서울,양천구,목동,,목동로,224,0226550932,0220620932,,,분양,위탁관리,계단식,개별난방,1.0,154,(주)대원,(주)대원,2001-09-10 00:00:00.0,26204.0,13648.0,18071.0,0.0,122.0,32.0,,,,2026-02-09 05:17:22.0,,위탁,종합계약,위탁,15783.3,202.0,의무,2016-05-30 16:26:29.0,Y,N,126.8650937,37.5285923,2013-03-07 09:47:03.0,서울특별시 양천구 목동 808-5,서울특별시 양천구 목동 927-5,108.0,799.0,0.0,N
33,A15288801,신도림우성5차,아파트,서울특별시 구로구 신도림로21길 21,서울,구로구,신도림동,638,신도림로21길,21,0226764981,0263264981,,,분양,위탁관리,복도식,개별난방,1.0,154,우성건설(주),우성건설(주),1994-12-15 00:00:00.0,16328.0,11152.0,14776.0,56.0,98.0,0.0,,,,2026-02-09 05:32:29.0,113-80-02456-0,위탁+직영,단일계약,위탁,0.0,136.0,의무,2014-12-10 13:12:17.0,Y,N,126.8837922,37.5127235,2013-03-07 09:47:04.0,서울특별시 구로구 신도림동 638,서울특별시 구로구 신도림동 300-6,134.0,,,N
34,A15722201,마곡서광2차아파트,아파트,서울특별시 강서구 양천로14길 17,서울,강서구,방화동,871번지,양천로14길,17,0226626292,0226626293,,,분양,위탁관리,계단식,개별난방,2.0,154,서광건설(주),서광건설(주),2003-06-02 00:00:00.0,27065.0,15216.0,18545.0,0.0,58.0,96.0,,,,2026-02-09 05:30:38.0,907-00-00338-1,위탁,종합계약,위탁,0.0,229.0,의무,2013-05-24 10:49:51.0,Y,N,126.8106819,37.5720228,2013-03-07 09:47:04.0,서울특별시 강서구 방화동 871,서울특별시 강서구 방화동 542-2,55.0,,,N
35,A13786901,서초1차e편한세상,아파트,서울특별시 서초구 명달로6길 31,서울,서초구,서초동,1487-63,명달로6길,31,025831487,025841488,,,분양,위탁관리,계단식,개별난방,2.0,154,대림,대림,2004-08-24 00:00:00.0,37212.0,20102.0,24436.0,0.0,0.0,154.0,,서초1차e-편한세상.apti.co.kr,,2026-02-09 06:10:56.0,907-00-06799-1,위탁,종합계약,위탁,0.0,0.0,의무,2013-06-20 10:33:33.0,Y,N,127.0067349,37.4812021,2013-03-07 09:47:04.0,서울특별시 서초구 서초동 1487-63,서울특별시 서초구 서초동 1466-5,112.0,293.0,0.0,Y
36,A15881702,목동성원,아파트,서울특별시 양천구 목동중앙로 67,서울,양천구,목동,763-1 목동 성원 아파트 관리사무소,목동중앙로,67,0226439306,0226439306,,,분양,위탁관리,계단식,개별난방,2.0,155,성원산업개발(주),수정.삼성 연립 재건축 주택 조합,2000-06-29 00:00:00.0,22553.0,12520.0,15957.0,64.0,59.0,32.0,,,,2026-02-09 05:18:48.0,90700315921,위탁,종합계약,위탁,0.0,176.0,의무,2013-06-23 10:54:15.0,Y,N,126.8699072,37.5358469,2013-03-07 09:47:04.0,서울특별시 양천구 목동 763-1,서울특별시 양천구 목동 757-2,88.0,185.0,0.0,Y
37,A12204001,북한산수자인,아파트,서울특별시 은평구 불광로 170,서울,은평구,불광동,관리사무소,불광로,170,023553203,023553206,,,분양,위탁관리,계단식,개별난방,2.0,155,한양,정원연립재건축조합,2006-09-01 00:00:00.0,17909.0,10017.0,12900.0,125.0,30.0,0.0,,,,2026-02-09 04:57:00.0,20060645099,직영,단일계약,위탁,1315.1,151.0,의무,2019-07-29 17:16:43.0,Y,N,126.9321696,37.6216983,2013-03-07 09:47:04.0,서울특별시 은평구 불광동 636 북한산 한양 수자인,,,,,N
38,A13295201,브라운스톤쌍문,아파트,서울특별시 도봉구 노해로40길 71,서울,도봉구,쌍문동,,노해로40길,71,029068523,029068524,,,분양,위탁관리,계단식,개별난방,2.0,155,이수건설,국화연립재건축조합,2006-12-26 00:00:00.0,23262.0,12256.0,15460.0,25.0,114.0,16.0,,www.bsssangmun.com,,2026-02-09 04:42:38.0,90700280321,위탁,단일계약,위탁,1792.56,169.0,의무,2016-11-01 20:17:20.0,Y,N,127.0295935,37.6471154,2013-03-07 09:47:04.0,서울특별시 도봉구 쌍문동 729,서울특별시 도봉구 쌍문동 309-3,63.0,427.0,1.0,N
39,A13527001,도곡동양재디오빌,주상복합,서울특별시 강남구 강남대로 256,서울,강남구,도곡동,952번지,강남대로,256,025771127,025771128,,,분양,위탁관리,복도식,개별난방,1.0,155,대우건설,대우건설,2004-04-23 00:00:00.0,9783.0,4261.0,8099.0,155.0,0.0,0.0,,,,2026-02-09 06:21:42.0,,위탁,종합계약,위탁,0.0,125.0,의무,2013-06-23 14:19:28.0,Y,Y,127.0335386,37.4864782,2013-03-07 09:47:04.0,서울특별시 강남구 도곡동 952,서울특별시 강남구 도곡동 922,181.0,671.0,1.0,N
40,A15884901,유원목동,아파트,서울특별시 양천구 신목로 77,서울,양천구,신정동,87-39,신목로,77,0226436751,0226436752,,,분양,위탁관리,계단식,지역난방,2.0,156,유원건설(주),한전연합주택조합,1990-12-29 00:00:00.0,16977.0,13110.0,16497.0,0.0,156.0,0.0,,,,2026-02-09 05:16:05.0,,위탁,종합계약,위탁,0.0,0.0,의무,2013-05-27 13:44:34.0,Y,N,126.8736268,37.5217974,2013-03-07 09:47:04.0,서울특별시 양천구 신정동 87-39,서울특별시 양천구 신정동 86-2,180.0,,,N
41,A13486401,천호현대,아파트,서울특별시 강동구 진황도로 47-2,서울,강동구,천호동,천호현대아파트,진황도로,47-2,024870371,0264830371,170.0,,분양,위탁관리,복도식,개별난방,2.0,156,현대건설,아남산업주택조합,1990-05-31 00:00:00.0,13497.0,8976.0,12620.0,48.0,108.0,0.0,,,,2026-02-09 06:36:39.0,21282602660,위탁,단일계약,직영,502.68,100.0,의무,2016-06-02 08:53:22.0,Y,N,127.1329005,37.5383992,2013-03-07 09:47:04.0,서울특별시 강동구 천호동 168-6,서울특별시 강동구 길동 371-1,92.0,,,N
42,A13187501,중화극동,아파트,서울특별시 중랑구 봉화산로27길 32,서울,중랑구,중화동,19번지,봉화산로27길,32,024945822,024345822,,,분양,위탁관리,혼합식,개별난방,1.0,156,극동건설,극동건설,1991-04-29 00:00:00.0,17030.0,13006.0,17030.0,0.0,156.0,0.0,,,,2026-02-09 04:29:02.0,907-00-08151-1,위탁,단일계약,위탁,0.0,160.0,의무,2019-04-25 09:37:11.0,Y,N,127.0837949,37.6036519,2013-03-07 09:46:52.0,서울특별시 중랑구 중화동 19,서울특별시 중랑구 중화동 277-1,44.0,,,N
43,A15185201,신림현대성우,아파트,서울특별시 관악구 남부순환로198길 7,서울,관악구,신림동,,남부순환로198길,7,028742659,028755972,101.0,,분양,위탁관리,혼합식,개별난방,1.0,156,성우종합건설(주),삼성연립재건축조합,1998-10-26 00:00:00.0,21207.0,11990.0,15618.0,71.0,68.0,17.0,,,,2026-02-09 06:01:41.0,119-82-61200,직영,종합계약,직영,1197.5,167.0,의무,2013-06-23 11:47:02.0,Y,N,126.9372705,37.4837087,2013-03-07 09:46:52.0,서울특별시 관악구 신림동 10-622,서울특별시 관악구 봉천동 920,65.0,614.0,0.0,N
44,A11084601,평창롯데,아파트,서울특별시 종로구 평창문화로 140,서울,종로구,평창동,72,평창문화로,140,023790120,026320120,,,분양,위탁관리,계단식,개별난방,3.0,156,롯데건설,북악맨션재건축조합,2001-04-30 00:00:00.0,31071.0,16343.0,21191.0,0.0,36.0,120.0,,,,2026-02-09 04:03:55.0,90700279361,위탁,종합계약,위탁,0.0,256.0,의무,2013-06-14 16:42:55.0,Y,N,126.9756922,37.6091332,2013-03-07 09:46:52.0,서울특별시 종로구 평창동 72,서울특별시 종로구 신영동 219-4,92.0,1550.0,0.0,N
46,A13820002,문정세양청마루,아파트,서울특별시 송파구 송이로31길 66,서울,송파구,문정동,146번지,송이로31길,66,024032521,024032523,,,분양,위탁관리,계단식,개별난방,2.0,157,세양건설,세양지역주택조합,2004-05-01 00:00:00.0,14743.0,9406.0,12158.0,157.0,0.0,0.0,,,,2026-02-09 06:26:38.0,215-80-05889-0,위탁,단일계약,위탁,0.0,126.0,의무,2014-12-02 11:47:54.0,Y,N,127.1370266,37.4924314,2013-03-07 09:46:52.0,서울특별시 송파구 문정동 146,서울특별시 송파구 문정동 12,137.0,,,N
